observation_date,ASPNHSUS
1/1/1975,39500
2/1/1975,40600
3/1/1975,42100
4/1/1975,42000
5/1/1975,43200
6/1/1975,42500
7/1/1975,42300
8/1/1975,41200
9/1/1975,43400
10/1/1975,43900
11/1/1975,43700
12/1/1975,45900
1/1/1976,45300
2/1/1976,45900
3/1/1976,46800
4/1/1976,46800
5/1/1976,47500
6/1/1976,49200
7/1/1976,48000
8/1/1976,48500
9/1/1976,48200
10/1/1976,50400
11/1/1976,50000
12/1/1976,50600
1/1/1977,50700
2/1/1977,52600
3/1/1977,51600
4/1/1977,54600
5/1/1977,54400
6/1/1977,53900
7/1/1977,53600
8/1/1977,54300
9/1/1977,53900
10/1/1977,57200
11/1/1977,57800
12/1/1977,57600
1/1/1978,58500
2/1/1978,59100
3/1/1978,59900
4/1/1978,59300
5/1/1978,62300
6/1/1978,63200
7/1/1978,62900
8/1/1978,63000
9/1/1978,64400
10/1/1978,65700
11/1/1978,66300
12/1/1978,67400
1/1/1979,67700
2/1/1979,68700
3/1/1979,68500
4/1/1979,71000
5/1/1979,71800
6/1/1979,74300
7/1/1979,71900
8/1/1979,74000
9/1/1979,76800
10/1/1979,71500
11/1/1979,74200
12/1/1979,72600
1/1/1980,72400
2/1/1980,76600
3/1/1980,71600
4/1/1980,74600
5/1/1980,72800
6/1/1980,75600
7/1/1980,76700
8/1/1980,76000
9/1/1980,80100
10/1/1980,77500
11/1/1980,81800
12/1/1980,81400
1/1/1981,80700
2/1/1981,80000
3/1/1981,81600
4/1/1981,84700
5/1/1981,83600
6/1/1981,84700
7/1/1981,82600
8/1/1981,87000
9/1/1981,81300
10/1/1981,82500
11/1/1981,85300
12/1/1981,82800
1/1/1982,78000
2/1/1982,80700
3/1/1982,83700
4/1/1982,85000
5/1/1982,86500
6/1/1982,84900
7/1/1982,86500
8/1/1982,86500
9/1/1982,79600
10/1/1982,79900
11/1/1982,87800
12/1/1982,86700
1/1/1983,87200
2/1/1983,86800
3/1/1983,86200
4/1/1983,87600
5/1/1983,88800
6/1/1983,90900
7/1/1983,89200
8/1/1983,91300
9/1/1983,97800
10/1/1983,89500
11/1/1983,91400
12/1/1983,91700
1/1/1984,92200
2/1/1984,94400
3/1/1984,97700
4/1/1984,96200
5/1/1984,101900
6/1/1984,98800
7/1/1984,97100
8/1/1984,96900
9/1/1984,101300
10/1/1984,95700
11/1/1984,101400
12/1/1984,96300
1/1/1985,98300
2/1/1985,96200
3/1/1985,100900
4/1/1985,104700
5/1/1985,98100
6/1/1985,99600
7/1/1985,99400
8/1/1985,99200
9/1/1985,102600
10/1/1985,102700
11/1/1985,104100
12/1/1985,106100
1/1/1986,104100
2/1/1986,106600
3/1/1986,108000
4/1/1986,110300
5/1/1986,114600
6/1/1986,110900
7/1/1986,116800
8/1/1986,113200
9/1/1986,114000
10/1/1986,114900
11/1/1986,113600
12/1/1986,118900
1/1/1987,122100
2/1/1987,121300
3/1/1987,119500
4/1/1987,118100
5/1/1987,126600
6/1/1987,135800
7/1/1987,128600
8/1/1987,128500
9/1/1987,133500
10/1/1987,125800
11/1/1987,139200
12/1/1987,136200
1/1/1988,144400
2/1/1988,137600
3/1/1988,133200
4/1/1988,135000
5/1/1988,133500
6/1/1988,136500
7/1/1988,141300
8/1/1988,140600
9/1/1988,142700
10/1/1988,137300
11/1/1988,137300
12/1/1988,147700
1/1/1989,138600
2/1/1989,145300
3/1/1989,149000
4/1/1989,144700
5/1/1989,145100
6/1/1989,153600
7/1/1989,140300
8/1/1989,158600
9/1/1989,151100
10/1/1989,147800
11/1/1989,151400
12/1/1989,154300
1/1/1990,151700
2/1/1990,150900
3/1/1990,144600
4/1/1990,153400
5/1/1990,150600
6/1/1990,150400
7/1/1990,149800
8/1/1990,144700
9/1/1990,142100
10/1/1990,153000
11/1/1990,143300
12/1/1990,153400
1/1/1991,148600
2/1/1991,147800
3/1/1991,156400
4/1/1991,150800
5/1/1991,145400
6/1/1991,145900
7/1/1991,148200
8/1/1991,141800
9/1/1991,147300
10/1/1991,147400
11/1/1991,141700
12/1/1991,143000
1/1/1992,144200
2/1/1992,144800
3/1/1992,144800
4/1/1992,145000
5/1/1992,146000
6/1/1992,146600
7/1/1992,137700
8/1/1992,145300
